Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,FileName,ra,de,decimal_date,helio_corr
WD0053-117,0,55,50.34,-,11,27,31.5,WD0053m117_b_2002_09_27T06_55_38_all.dat.gz,0.9306382666666667,11.4582,2002.7369863013698,0.7934861410217282
WD0058-044,1,1,2.21,-,4,11,10.7,WD0058m044_a_2000_07_13T07_11_46_all.dat.gz,1.0172717333333334,4.18577,2000.5300546448088,27.98705700341316
WD0058-044,1,1,2.21,-,4,11,10.7,WD0058m044_b_2000_07_16T07_17_41_all.dat.gz,1.017283,4.18596,2000.5382513661202,27.500904622127102
WD0101+048,1,3,49.92,+,5,4,30.6,WD0101p048_a_2002_09_13T08_20_35_all.dat.gz,1.0638912666666667,5.07633,2002.6986301369864,6.574840223826436
WD0101+048,1,3,49.92,+,5,4,30.6,WD0101p048_b_2003_07_27T09_32_06_all.dat.gz,1.0638986666666665,5.07584,2003.5671232876712,25.42950054558436
WD0102-142,1,5,22.11,-,13,59,11.0,WD0102m142_a_2000_08_05T09_50_38_all.dat.gz,1.0893723333333334,13.98632,2000.5928961748634,23.33169557566525
WD0102-142,1,5,22.11,-,13,59,11.0,WD0102m142_a_2002_09_12T08_43_02_all.dat.gz,1.0894596,13.98604,2002.695890410959,8.699626651874755
WD0102-185,1,4,53.12,-,18,19,51.5,WD0102m185_a_2003_02_05T00_45_01_all.dat.gz,1.0814143999999999,18.33048,2003.0958904109589,-23.57914551547127
WD0102-185,1,4,53.12,-,18,19,51.5,WD0102m185_b_2003_07_29T09_33_54_all.dat.gz,1.0813920000000001,18.33024,2003.572602739726,25.32400117790281
WD0103-278,1,5,53.54,-,27,36,56.5,WD0103m278_a_2002_09_15T03_50_28_all.dat.gz,1.0982324,27.61549,2002.704109589041,9.479492594669619
WD0103-278,1,5,53.54,-,27,36,56.5,WD0103m278_b_2002_09_19T02_21_56_all.dat.gz,1.0982454,27.61558,2002.7150684931507,7.7329198461490645
WD0106-358,1,8,20.77,-,35,34,41.7,WD0106m358_a_2000_07_12T06_32_26_all.dat.gz,1.1391292666666668,35.57796,2000.5273224043715,25.048768458423847
WD0106-358,1,8,20.77,-,35,34,41.7,WD0106m358_b_2000_07_16T06_41_12_all.dat.gz,1.1390972,35.57861,2000.5382513661202,24.9154984256773
